J031150-312957,    47.96133,   -31.49925,   229.61337,   -59.21356,   1030.08,     27.20,     18.89,      0.31,    0.0183,    0.0006,        1,     85.5728,      0.4698,     19.20,        1,     18.00,       -1,    645.11,     10.88,     21.22,      1.78,    0.0329,    0.0028,        1,     17.1586,      2.4007,     -0.94,      0.04,      1.79,      0.16,          ,          ,          ,          ,          ,          ,          ,         ,            ,     16.36,      0.06,     19.10,     16.21,      0.15,      7.00,     12.62,          ,      1.20
J025926-394036,    44.86113,   -39.67672,   246.49358,   -60.69388,    992.35,     34.50,     16.72,      0.31,    0.0168,    0.0007,        1,    -25.4614,      0.5415,     17.60,        1,     16.00,       -1,    722.47,      9.42,     13.61,      1.53,    0.0188,    0.0021,        1,    -53.0875,      3.0985,     -0.64,      0.05,      1.12,      0.13,      0.50,      6.59,     16.77,      1.91,     16.27,      6.86,     -1.00,       15,      0.0662,     11.75,      0.02,     47.40,     11.62,      0.02,     51.30,     10.00,      0.05,     22.70
J032227-384843,    50.61662,   -38.81200,   243.06148,   -56.51951,   1009.87,     29.60,     35.37,      0.32,    0.0350,    0.0011,        1,     71.0369,      0.2542,     18.00,       -1,     16.00,       -1,    655.93,     15.75,     20.15,      1.82,    0.0307,    0.0029,        1,     73.1275,      2.6470,     -0.87,      0.05,      0.88,      0.09,     -7.70,      2.32,     -1.27,      1.61,      6.43,      2.82,      8.15,       26,            ,     15.62,      0.04,     30.40,     15.02,      0.05,     20.20,     12.43,      0.27,      4.10
J030456-355647,    46.23379,   -35.94650,   238.61565,   -60.38489,   1178.47,     40.40,     20.92,      0.31,    0.0178,    0.0007,        1,     14.6975,      0.4141,     47.20,        1,     19.00,        1,    689.52,     12.63,     19.25,      1.57,    0.0279,    0.0023,        1,    -32.7388,      2.3374,     -1.08,      0.06,      1.57,      0.14,     45.20,      6.22,     28.80,      1.44,    -16.40,      6.39,     14.00,       29,            ,          ,          ,          ,          ,          ,          ,          ,          ,          
J042442-375621,    66.17663,   -37.93931,   240.65347,   -44.39937,    503.25,     14.30,     14.53,      0.35,    0.0289,    0.0011,        1,     60.8941,      0.6754,     19.10,       -1,     17.00,       -1,    735.00,     13.00,     10.87,      1.72,    0.0148,    0.0024,        1,    -14.4134,      4.4706,      0.76,      0.05,      0.51,      0.08,     27.80,      6.22,     45.72,      2.75,     17.92,      6.80,     26.60,       30,      0.7825,     14.15,      0.03,     42.70,     13.01,      0.03,     44.30,     10.50,      0.06,     16.90
J033654-361605,    54.22504,   -36.26808,   238.11781,   -53.92807,    505.15,     15.00,      4.49,      0.30,    0.0089,    0.0006,        1,     76.2334,      1.9100,     19.50,       -1,     15.00,       -1,    587.29,     14.74,      2.16,      2.53,    0.0106,    0.0043,       -1,            ,            ,      0.30,      0.06,      1.20,      0.00,          ,          ,          ,          ,          ,          ,          ,         ,      1.5406,     14.47,      0.03,     40.50,     13.24,      0.03,     43.10,     10.12,      0.04,     24.80
J040733-330345,    61.89117,   -33.06275,   233.30402,   -47.54367,    734.29,     19.10,      6.69,      0.32,    0.0091,    0.0005,        1,    -71.8799,      1.3341,     19.80,       -1,     17.00,       -1,    612.37,     13.27,      3.44,      2.04,    0.0086,    0.0033,       -1,            ,            ,     -0.37,      0.05,      0.95,      0.00,          ,          ,          ,          ,          ,          ,          ,         ,      2.5620,     15.25,      0.03,     32.50,     14.50,      0.05,     24.30,     11.59,      0.18,      6.00
J040221-314726,    60.58854,   -31.79078,   231.24475,   -48.50820,    693.01,     20.40,     12.46,      0.35,    0.0180,    0.0007,        1,     38.2048,      0.7176,     18.00,       -1,     15.00,       -1,    540.76,     10.83,      5.48,      1.85,    0.0102,    0.0034,       -1,    -49.5668,      9.4302,     -0.50,      0.05,      0.56,      0.00,     -7.10,      5.37,    -56.00,      5.74,    -48.90,      7.86,          ,         ,      1.2880,     14.13,      0.03,     42.50,     13.06,      0.03,     40.60,     10.06,      0.05,     21.70
J042840-375619,    67.16842,   -37.93881,   240.70802,   -43.61817,    783.28,     26.60,     48.67,      0.33,    0.0621,    0.0022,        1,     21.7633,      0.1974,     14.00,        1,     16.00,       -1,   1348.53,     11.33,      4.89,      1.91,    0.0056,    0.0014,       -1,            ,            ,      1.09,      0.05,      0.09,      0.00,          ,          ,          ,          ,          ,          ,          ,         ,      1.1100,     11.30,      0.05,     19.60,     10.21,      0.02,     54.10,      7.15,      0.02,     67.20
J040826-310051,    62.10988,   -31.01431,   230.33249,   -47.12481,    899.32,     24.60,      5.14,      0.30,    0.0057,    0.0004,        1,    -73.5392,      1.7015,     65.20,        1,     17.00,       -1,    505.85,     11.25,     12.97,      1.78,    0.0256,    0.0036,        1,    -17.5193,      3.9670,     -1.16,      0.05,      4.49,      0.69,     55.70,     17.20,     75.28,      2.62,     19.58,     17.40,     13.95,       34,            ,          ,          ,          ,          ,          ,          ,          ,          ,          
